Node,Degree Centrality,Betweenness Centrality,Closeness Centrality
0,5767,0.0,0.584236510765096
1,10150,49135.088742562526,0.6700281425891182
2,5767,0.0,0.584236510765096
3,5767,0.0,0.584236510765096
4,5767,0.0,0.584236510765096
5,5767,0.0,0.584236510765096
6,5767,0.0,0.584236510765096
7,5767,0.0,0.584236510765096
8,5767,0.0,0.584236510765096
9,5767,0.0,0.584236510765096
10,10150,49135.088742562526,0.6700281425891182
11,5767,0.0,0.584236510765096
12,5767,0.0,0.584236510765096
13,5767,0.0,0.584236510765096
14,5767,0.0,0.584236510765096
15,5767,0.0,0.584236510765096
16,5767,0.0,0.584236510765096
17,5767,0.0,0.584236510765096
18,5767,0.0,0.584236510765096
19,5767,0.0,0.584236510765096
20,5767,0.0,0.584236510765096
21,5767,0.0,0.584236510765096
22,11562,53714.17594207161,0.7032986355324237
23,11562,53714.17594207161,0.7032986355324237
24,5767,0.0,0.584236510765096
25,5767,0.0,0.584236510765096
26,5767,0.0,0.584236510765096
27,5767,0.0,0.584236510765096
28,5767,0.0,0.584236510765096
29,5767,0.0,0.584236510765096
30,5767,0.0,0.584236510765096
31,5767,0.0,0.584236510765096
32,10150,49135.088742562526,0.6700281425891182
33,5767,0.0,0.584236510765096
34,11562,53714.17594207161,0.7032986355324237
35,5767,0.0,0.584236510765096
36,5767,0.0,0.584236510765096
37,5767,0.0,0.584236510765096
38,5767,0.0,0.584236510765096
39,5767,0.0,0.584236510765096
40,5767,0.0,0.584236510765096
41,5767,0.0,0.584236510765096
42,5767,0.0,0.584236510765096
43,5767,0.0,0.584236510765096
44,11562,53714.17594207161,0.7032986355324237
45,11562,53714.17594207161,0.7032986355324237
46,5767,0.0,0.584236510765096
47,5767,0.0,0.584236510765096
48,5767,0.0,0.584236510765096
49,5767,0.0,0.584236510765096
50,5767,0.0,0.584236510765096
51,5767,0.0,0.584236510765096
52,5767,0.0,0.584236510765096
53,5767,0.0,0.584236510765096
54,5767,0.0,0.584236510765096
55,5767,0.0,0.584236510765096
56,5767,0.0,0.584236510765096
57,5767,0.0,0.584236510765096
58,5767,0.0,0.584236510765096
59,5767,0.0,0.584236510765096
60,5767,0.0,0.584236510765096
61,5767,0.0,0.584236510765096
62,10150,49135.088742562526,0.6700281425891182
63,5767,0.0,0.584236510765096
64,5767,0.0,0.584236510765096
65,5767,0.0,0.584236510765096
66,5767,0.0,0.584236510765096
67,11562,53714.17594207161,0.7032986355324237
68,5767,0.0,0.584236510765096
69,5767,0.0,0.584236510765096
70,5767,0.0,0.584236510765096
71,5767,0.0,0.584236510765096
72,5767,0.0,0.584236510765096
73,10150,49135.088742562526,0.6700281425891182
74,5767,0.0,0.584236510765096
75,5767,0.0,0.584236510765096
76,5767,0.0,0.584236510765096
77,5767,0.0,0.584236510765096
78,5767,0.0,0.584236510765096
79,10150,49135.088742562526,0.6700281425891182
80,5767,0.0,0.584236510765096
81,11562,53714.17594207161,0.7032986355324237
82,5767,0.0,0.584236510765096
83,5767,0.0,0.584236510765096
84,11562,53714.17594207161,0.7032986355324237
85,5767,0.0,0.584236510765096
86,5767,0.0,0.584236510765096
87,5767,0.0,0.584236510765096
88,5767,0.0,0.584236510765096
89,5767,0.0,0.584236510765096
90,5767,0.0,0.584236510765096
91,5767,0.0,0.584236510765096
92,5767,0.0,0.584236510765096
93,5767,0.0,0.584236510765096
94,5767,0.0,0.584236510765096
95,5767,0.0,0.584236510765096
96,5767,0.0,0.584236510765096
97,11562,53714.17594207161,0.7032986355324237
98,5767,0.0,0.584236510765096
99,10150,49135.088742562526,0.6700281425891182
100,5767,0.0,0.584236510765096
101,5767,0.0,0.584236510765096
102,10150,49135.088742562526,0.6700281425891182
103,5767,0.0,0.584236510765096
104,5767,0.0,0.584236510765096
105,5767,0.0,0.584236510765096
106,5767,0.0,0.584236510765096
107,5767,0.0,0.584236510765096
108,5767,0.0,0.584236510765096
109,5767,0.0,0.584236510765096
110,5767,0.0,0.584236510765096
111,5767,0.0,0.584236510765096
112,5767,0.0,0.584236510765096
113,5767,0.0,0.584236510765096
114,11562,53714.17594207161,0.7032986355324237
115,5767,0.0,0.584236510765096
116,5767,0.0,0.584236510765096
117,5767,0.0,0.584236510765096
118,5767,0.0,0.584236510765096
119,5767,0.0,0.584236510765096
120,5767,0.0,0.584236510765096
121,5767,0.0,0.584236510765096
122,5767,0.0,0.584236510765096
123,5767,0.0,0.584236510765096
124,5767,0.0,0.584236510765096
125,5767,0.0,0.584236510765096
126,5767,0.0,0.584236510765096
127,5767,0.0,0.584236510765096
128,5767,0.0,0.584236510765096
129,5767,0.0,0.584236510765096
130,5767,0.0,0.584236510765096
131,5767,0.0,0.584236510765096
132,5767,0.0,0.584236510765096
133,5767,0.0,0.584236510765096
134,5767,0.0,0.584236510765096
